algorithm, output_bits, input_bits, efficiency, min_entropy_input_rate
sha-256  ,  256  ,  4992  ,  0.8448  ,  0.0607
sha-256  ,  256  ,  5120  ,  0.8460  ,  0.0591
sha-256  ,  256  ,  5248  ,  0.8454  ,  0.0577
sha-256  ,  256  ,  5376  ,  0.8458  ,  0.0563
sha-256  ,  256  ,  5504  ,  0.8457  ,  0.0550
sha-256  ,  256  ,  5632  ,  0.8449  ,  0.0538
sha-256  ,  256  ,  5760  ,  0.8450  ,  0.0526
sha-256  ,  256  ,  5888  ,  0.8459  ,  0.0514
sha-256  ,  256  ,  6016  ,  0.8460  ,  0.0503
sha-256  ,  256  ,  6144  ,  0.8452  ,  0.0493
sha-384  ,  384  ,  512  ,  0.8939  ,  0.8390
sha-384  ,  384  ,  640  ,  0.8939  ,  0.6712
sha-384  ,  384  ,  768  ,  0.8940  ,  0.5593
sha-384  ,  384  ,  896  ,  0.8940  ,  0.4794
sha-384  ,  384  ,  1024  ,  0.8939  ,  0.4195
sha-384  ,  384  ,  1152  ,  0.8939  ,  0.3729
sha-384  ,  384  ,  1280  ,  0.8939  ,  0.3356
sha-384  ,  384  ,  1408  ,  0.8939  ,  0.3051
sha-384  ,  384  ,  1536  ,  0.8938  ,  0.2797
sha-384  ,  384  ,  1664  ,  0.8938  ,  0.2582
sha-384  ,  384  ,  1792  ,  0.8940  ,  0.2397
sha-384  ,  384  ,  1920  ,  0.8937  ,  0.2238
sha-384  ,  384  ,  2048  ,  0.8937  ,  0.2098
sha-384  ,  384  ,  2176  ,  0.8940  ,  0.1974
sha-384  ,  384  ,  2304  ,  0.8937  ,  0.1865
sha-384  ,  384  ,  2432  ,  0.8936  ,  0.1767
sha-384  ,  384  ,  2560  ,  0.8939  ,  0.1678
sha-384  ,  384  ,  2688  ,  0.8940  ,  0.1598
sha-384  ,  384  ,  2816  ,  0.8936  ,  0.1526
sha-384  ,  384  ,  2944  ,  0.8934  ,  0.1460
